dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,2,4,0.25,0.14649622032399792,0.40219854940000976,,152,19,42,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.25,0.14874998524320301,0.38366335845382027,,152,21,43,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.25,0.14568697428754956,0.4087848255978732,,152,19,44,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.25,0.14526550376138317,0.41220063315277744,,152,19,45,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.25,0.1453328457002408,0.4116555247404531,,152,20,46,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.5,0.146866758089779,0.3991706467388847,,152,19,42,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.5,0.14513557797470272,0.4132516210375978,,152,21,43,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.5,0.14502030790835205,0.4141832694598234,,152,23,44,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.5,0.14661113270765555,0.40126034455400883,,152,19,45,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.5,0.1474950744371007,0.3940187875773924,,152,19,46,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.75,0.14518962478785474,0.41281454303072196,,152,21,42,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.75,0.1460902639296933,0.40550709992998213,,152,19,43,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.75,0.14587682521977066,0.4072429460067831,,152,23,44,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.75,0.1471386161241096,0.3969442550792588,,152,30,45,100,5.0,0.25,10,tt_lin
seoulBike,2,4,0.75,0.14655492515190818,0.40171934437058743,,152,20,46,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.25,0.14531339449107097,0.4118130011260459,,304,28,42,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.25,0.14550479960579127,0.41026247446961317,,304,26,43,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.25,0.14558418590553554,0.4096187864040858,,304,25,44,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.25,0.1455196251970962,0.4101422907646042,,304,28,45,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.25,0.14529345704009627,0.41197439223535226,,304,25,46,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.5,0.14536082914232357,0.4114289346876866,,304,24,42,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.5,0.14540413951108497,0.4110781520511678,,304,28,43,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.5,0.14552239289060404,0.41011985309167576,,304,24,44,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.5,0.14535614392229385,0.41146687531474035,,304,24,45,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.5,0.14552077631016738,0.4101329587503981,,304,26,46,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.75,0.14545014086971958,0.41070545990313456,,304,28,42,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.75,0.1456135923938185,0.40938026061220134,,304,24,43,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.75,0.14547918588951025,0.41047008329316725,,304,24,44,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.75,0.14536771421003084,0.4113731776088414,,304,24,45,100,5.0,0.25,10,tt_lin
seoulBike,2,8,0.75,0.14534154288627477,0.41158510577307006,,304,28,46,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.25,0.145392444755132,0.4111728814081169,,456,22,42,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.25,0.14549785920036468,0.41031873268126695,,456,22,43,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.25,0.14547993176319032,0.4104640382225545,,456,22,44,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.25,0.14544378578638573,0.4107569543062821,,456,23,45,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.25,0.14553247789469828,0.4100380904197517,,456,22,46,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.5,0.1455396635572346,0.4099798302717804,,456,22,42,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.5,0.14543877636662683,0.41079754338895913,,456,22,43,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.5,0.14539767300108428,0.41113053273785594,,456,22,44,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.5,0.14539359776065394,0.4111635422211686,,456,22,45,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.5,0.14551601404674247,0.4101715656949525,,456,22,46,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.75,0.1454642806726109,0.4105908788706145,,456,22,42,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.75,0.1454858888810469,0.41041575655145546,,456,22,43,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.75,0.14549303127136137,0.4103578657939474,,456,22,44,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.75,0.1455401523663474,0.40997586698489397,,456,22,45,100,5.0,0.25,10,tt_lin
seoulBike,2,12,0.75,0.1454164236885698,0.4109786400823615,,456,22,46,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.25,0.14535901958718417,0.4114435885001775,,608,22,42,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.25,0.14548731628231618,0.4104041873548503,,608,22,43,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.25,0.14550178210797177,0.41028693432592167,,608,22,44,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.25,0.1454381201131907,0.4108028606127976,,608,22,45,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.25,0.14550956984353078,0.4102238058576888,,608,22,46,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.5,0.1454744372781863,0.41050856856145546,,608,22,42,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.5,0.1454293685351212,0.41087376705217105,,608,22,43,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.5,0.14533454911492966,0.4116417329442531,,608,22,44,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.5,0.14548892241076425,0.41039116942505616,,608,22,45,100,5.0,0.25,10,tt_lin
seoulBike,2,16,0.5,0.14553313425995107,0.41003276883962414,,608,22,46,100,5.0,0.25,10,tt_lin
