dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
student_dropout,1,4,,,,0.44126506024096385,1068,46,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,4,,,,0.3825301204819277,1068,56,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,4,,,,0.4352409638554217,1068,65,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,4,,,,0.4066265060240964,1068,59,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,4,,,,0.3990963855421687,1068,43,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,8,,,,0.4397590361445783,4012,111,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,8,,,,0.4126506024096386,4012,66,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,8,,,,0.3930722891566265,4012,42,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,8,,,,0.39457831325301207,4012,64,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,8,,,,0.3810240963855422,4012,41,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,12,,,,0.39156626506024095,8620,52,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,12,,,,0.3825301204819277,8620,43,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,12,,,,0.3885542168674699,8620,42,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,12,,,,0.3795180722891566,8620,51,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,12,,,,0.4126506024096386,8620,38,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,16,,,,0.4006024096385542,15020,86,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,16,,,,0.4171686746987952,15020,55,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,16,,,,0.37801204819277107,15020,41,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,16,,,,0.39006024096385544,15020,62,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,1,16,,,,0.40512048192771083,15020,64,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,4,,,,0.4683734939759036,1635,74,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,4,,,,0.4713855421686747,1635,62,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,4,,,,0.40210843373493976,1635,7,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,4,,,,0.46686746987951805,1635,72,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,4,,,,0.46686746987951805,1635,74,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,8,,,,0.49096385542168675,6315,104,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,8,,,,0.49849397590361444,6315,102,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,8,,,,0.4939759036144578,6315,72,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,8,,,,0.46536144578313254,6315,56,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,8,,,,0.4789156626506024,6315,73,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,12,,,,0.463855421686747,13797,70,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,12,,,,0.4864457831325301,13797,70,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,12,,,,0.4397590361445783,13797,69,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,12,,,,0.43373493975903615,13797,50,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,12,,,,0.4578313253012048,13797,68,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,16,,,,0.4457831325301205,24093,40,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,16,,,,0.4397590361445783,24093,65,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,16,,,,0.463855421686747,24093,69,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,16,,,,0.4759036144578313,24093,68,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,2,16,,,,0.463855421686747,24093,68,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,4,,,,0.3493975903614458,2224,3,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,4,,,,0.3885542168674699,2224,3,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,4,,,,0.34036144578313254,2224,4,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,4,,,,0.3177710843373494,2224,3,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,4,,,,0.3463855421686747,2224,4,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,8,,,,0.31626506024096385,8496,4,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,8,,,,0.3509036144578313,8496,4,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,8,,,,0.3960843373493976,8496,11,44,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,8,,,,0.4246987951807229,8496,4,45,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,8,,,,0.3207831325301205,8496,6,46,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,12,,,,0.3509036144578313,18864,6,42,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,12,,,,0.42319277108433734,18864,9,43,100,5.0,0.25,37,tnml_polynomial
student_dropout,3,12,,,,0.34789156626506024,18864,5,44,100,5.0,0.25,37,tnml_polynomial
