dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
student_dropout,2,4,,,,0.7484939759036144,444,15,42,100,5.0,0.25,10,tt_cumsum
student_dropout,2,4,,,,0.7650602409638554,444,17,43,100,5.0,0.25,10,tt_cumsum
student_dropout,2,4,,,,0.7575301204819277,444,15,44,100,5.0,0.25,10,tt_cumsum
student_dropout,2,4,,,,0.7575301204819277,444,15,45,100,5.0,0.25,10,tt_cumsum
student_dropout,2,4,,,,0.7575301204819277,444,17,46,100,5.0,0.25,10,tt_cumsum
student_dropout,2,8,,,,0.7575301204819277,888,15,42,100,5.0,0.25,10,tt_cumsum
student_dropout,2,8,,,,0.7605421686746988,888,14,43,100,5.0,0.25,10,tt_cumsum
student_dropout,2,8,,,,0.733433734939759,888,9,44,100,5.0,0.25,10,tt_cumsum
student_dropout,2,8,,,,0.7575301204819277,888,15,45,100,5.0,0.25,10,tt_cumsum
student_dropout,2,8,,,,0.7620481927710844,888,15,46,100,5.0,0.25,10,tt_cumsum
student_dropout,2,12,,,,0.7590361445783133,1332,16,42,100,5.0,0.25,10,tt_cumsum
student_dropout,2,12,,,,0.7575301204819277,1332,15,43,100,5.0,0.25,10,tt_cumsum
student_dropout,2,12,,,,0.7530120481927711,1332,13,44,100,5.0,0.25,10,tt_cumsum
student_dropout,2,12,,,,0.7560240963855421,1332,15,45,100,5.0,0.25,10,tt_cumsum
student_dropout,2,12,,,,0.7530120481927711,1332,15,46,100,5.0,0.25,10,tt_cumsum
student_dropout,2,16,,,,0.7530120481927711,1776,14,42,100,5.0,0.25,10,tt_cumsum
student_dropout,2,16,,,,0.7560240963855421,1776,14,43,100,5.0,0.25,10,tt_cumsum
student_dropout,2,16,,,,0.7560240963855421,1776,15,44,100,5.0,0.25,10,tt_cumsum
student_dropout,2,16,,,,0.7530120481927711,1776,14,45,100,5.0,0.25,10,tt_cumsum
student_dropout,2,16,,,,0.75,1776,14,46,100,5.0,0.25,10,tt_cumsum
student_dropout,3,4,,,,0.5331325301204819,1036,8,42,100,5.0,0.25,10,tt_cumsum
student_dropout,3,4,,,,0.7439759036144579,1036,18,43,100,5.0,0.25,10,tt_cumsum
student_dropout,3,4,,,,0.4924698795180723,1036,8,44,100,5.0,0.25,10,tt_cumsum
student_dropout,3,4,,,,0.48493975903614456,1036,6,45,100,5.0,0.25,10,tt_cumsum
student_dropout,3,4,,,,0.4683734939759036,1036,8,46,100,5.0,0.25,10,tt_cumsum
student_dropout,3,8,,,,0.7590361445783133,3256,15,42,100,5.0,0.25,10,tt_cumsum
student_dropout,3,8,,,,0.608433734939759,3256,8,43,100,5.0,0.25,10,tt_cumsum
student_dropout,3,8,,,,0.7454819277108434,3256,17,44,100,5.0,0.25,10,tt_cumsum
