dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,2,4,,,,1.0,184,12,42,100,5.0,0.25,10,cpd_type1
wine,2,4,,,,1.0,184,16,43,100,5.0,0.25,10,cpd_type1
wine,2,4,,,,1.0,184,11,44,100,5.0,0.25,10,cpd_type1
wine,2,4,,,,1.0,184,15,45,100,5.0,0.25,10,cpd_type1
wine,2,4,,,,1.0,184,15,46,100,5.0,0.25,10,cpd_type1
wine,2,8,,,,1.0,340,12,42,100,5.0,0.25,10,cpd_type1
wine,2,8,,,,1.0,340,12,43,100,5.0,0.25,10,cpd_type1
wine,2,8,,,,1.0,340,15,44,100,5.0,0.25,10,cpd_type1
wine,2,8,,,,1.0,340,13,45,100,5.0,0.25,10,cpd_type1
wine,2,8,,,,1.0,340,16,46,100,5.0,0.25,10,cpd_type1
wine,2,12,,,,1.0,496,12,42,100,5.0,0.25,10,cpd_type1
wine,2,12,,,,1.0,496,12,43,100,5.0,0.25,10,cpd_type1
wine,2,12,,,,1.0,496,12,44,100,5.0,0.25,10,cpd_type1
wine,2,12,,,,1.0,496,12,45,100,5.0,0.25,10,cpd_type1
wine,2,12,,,,1.0,496,12,46,100,5.0,0.25,10,cpd_type1
wine,2,16,,,,1.0,652,12,42,100,5.0,0.25,10,cpd_type1
wine,2,16,,,,1.0,652,12,43,100,5.0,0.25,10,cpd_type1
wine,2,16,,,,1.0,652,12,44,100,5.0,0.25,10,cpd_type1
wine,2,16,,,,1.0,652,15,45,100,5.0,0.25,10,cpd_type1
wine,2,16,,,,1.0,652,15,46,100,5.0,0.25,10,cpd_type1
wine,2,64,,,,1.0,2524,12,42,100,5.0,0.25,10,cpd_type1
wine,2,64,,,,1.0,2524,11,43,100,5.0,0.25,10,cpd_type1
wine,2,64,,,,1.0,2524,11,44,100,5.0,0.25,10,cpd_type1
wine,2,64,,,,1.0,2524,12,45,100,5.0,0.25,10,cpd_type1
wine,2,64,,,,1.0,2524,12,46,100,5.0,0.25,10,cpd_type1
wine,2,144,,,,0.9629629629629629,5644,11,42,100,5.0,0.25,10,cpd_type1
wine,2,144,,,,1.0,5644,11,43,100,5.0,0.25,10,cpd_type1
wine,2,144,,,,1.0,5644,12,44,100,5.0,0.25,10,cpd_type1
wine,2,144,,,,1.0,5644,12,45,100,5.0,0.25,10,cpd_type1
wine,2,144,,,,1.0,5644,12,46,100,5.0,0.25,10,cpd_type1
wine,2,256,,,,0.9629629629629629,10012,11,42,100,5.0,0.25,10,cpd_type1
wine,2,256,,,,0.9629629629629629,10012,11,43,100,5.0,0.25,10,cpd_type1
wine,2,256,,,,0.9629629629629629,10012,11,44,100,5.0,0.25,10,cpd_type1
wine,2,256,,,,1.0,10012,12,45,100,5.0,0.25,10,cpd_type1
wine,2,256,,,,1.0,10012,12,46,100,5.0,0.25,10,cpd_type1
wine,3,4,,,,1.0,392,12,42,100,5.0,0.25,10,cpd_type1
wine,3,4,,,,1.0,392,12,43,100,5.0,0.25,10,cpd_type1
wine,3,4,,,,1.0,392,20,44,100,5.0,0.25,10,cpd_type1
wine,3,4,,,,1.0,392,21,45,100,5.0,0.25,10,cpd_type1
wine,3,4,,,,1.0,392,19,46,100,5.0,0.25,10,cpd_type1
wine,3,8,,,,1.0,756,12,42,100,5.0,0.25,10,cpd_type1
wine,3,8,,,,1.0,756,12,43,100,5.0,0.25,10,cpd_type1
wine,3,8,,,,1.0,756,13,44,100,5.0,0.25,10,cpd_type1
wine,3,8,,,,1.0,756,15,45,100,5.0,0.25,10,cpd_type1
wine,3,8,,,,1.0,756,23,46,100,5.0,0.25,10,cpd_type1
wine,3,12,,,,1.0,1120,12,42,100,5.0,0.25,10,cpd_type1
wine,3,12,,,,1.0,1120,12,43,100,5.0,0.25,10,cpd_type1
wine,3,12,,,,1.0,1120,12,44,100,5.0,0.25,10,cpd_type1
wine,3,12,,,,1.0,1120,12,45,100,5.0,0.25,10,cpd_type1
wine,3,12,,,,1.0,1120,14,46,100,5.0,0.25,10,cpd_type1
wine,3,16,,,,1.0,1484,12,42,100,5.0,0.25,10,cpd_type1
wine,3,16,,,,1.0,1484,12,43,100,5.0,0.25,10,cpd_type1
wine,3,16,,,,1.0,1484,12,44,100,5.0,0.25,10,cpd_type1
wine,3,16,,,,1.0,1484,15,45,100,5.0,0.25,10,cpd_type1
wine,3,16,,,,1.0,1484,15,46,100,5.0,0.25,10,cpd_type1
wine,3,64,,,,1.0,5852,12,42,100,5.0,0.25,10,cpd_type1
wine,3,64,,,,1.0,5852,12,43,100,5.0,0.25,10,cpd_type1
wine,3,64,,,,1.0,5852,12,44,100,5.0,0.25,10,cpd_type1
wine,3,64,,,,1.0,5852,12,45,100,5.0,0.25,10,cpd_type1
wine,3,64,,,,1.0,5852,12,46,100,5.0,0.25,10,cpd_type1
wine,3,144,,,,1.0,13132,14,42,100,5.0,0.25,10,cpd_type1
wine,3,144,,,,1.0,13132,11,43,100,5.0,0.25,10,cpd_type1
wine,3,144,,,,1.0,13132,12,44,100,5.0,0.25,10,cpd_type1
wine,3,144,,,,1.0,13132,12,45,100,5.0,0.25,10,cpd_type1
wine,3,144,,,,1.0,13132,12,46,100,5.0,0.25,10,cpd_type1
