dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,,4,,,,0.5925925925925926,332,20,42,100,5.0,0.25,14,tnml_sin-cos
wine,,4,,,,0.6296296296296297,332,26,43,100,5.0,0.25,14,tnml_sin-cos
wine,,4,,,,0.6666666666666666,332,34,44,100,5.0,0.25,14,tnml_sin-cos
wine,,4,,,,0.6666666666666666,332,15,45,100,5.0,0.25,14,tnml_sin-cos
wine,,4,,,,0.6666666666666666,332,37,46,100,5.0,0.25,14,tnml_sin-cos
wine,,8,,,,0.5555555555555556,1068,20,42,100,5.0,0.25,14,tnml_sin-cos
wine,,8,,,,0.6666666666666666,1068,39,43,100,5.0,0.25,14,tnml_sin-cos
wine,,8,,,,0.6666666666666666,1068,39,44,100,5.0,0.25,14,tnml_sin-cos
wine,,8,,,,0.6296296296296297,1068,41,45,100,5.0,0.25,14,tnml_sin-cos
wine,,8,,,,0.7407407407407407,1068,36,46,100,5.0,0.25,14,tnml_sin-cos
wine,,12,,,,0.7407407407407407,1996,25,42,100,5.0,0.25,14,tnml_sin-cos
wine,,12,,,,0.7777777777777778,1996,27,43,100,5.0,0.25,14,tnml_sin-cos
wine,,12,,,,0.7037037037037037,1996,30,44,100,5.0,0.25,14,tnml_sin-cos
wine,,12,,,,0.8148148148148148,1996,48,45,100,5.0,0.25,14,tnml_sin-cos
wine,,12,,,,0.5925925925925926,1996,35,46,100,5.0,0.25,14,tnml_sin-cos
wine,,16,,,,0.7407407407407407,3244,28,42,100,5.0,0.25,14,tnml_sin-cos
wine,,16,,,,0.7037037037037037,3244,19,43,100,5.0,0.25,14,tnml_sin-cos
wine,,16,,,,0.6666666666666666,3244,30,44,100,5.0,0.25,14,tnml_sin-cos
wine,,16,,,,0.6296296296296297,3244,25,45,100,5.0,0.25,14,tnml_sin-cos
wine,,16,,,,0.7777777777777778,3244,21,46,100,5.0,0.25,14,tnml_sin-cos
