dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,2,4,,,,0.9629629629629629,168,12,42,100,5.0,0.25,10,tt
wine,2,4,,,,1.0,168,11,43,100,5.0,0.25,10,tt
wine,2,4,,,,1.0,168,11,44,100,5.0,0.25,10,tt
wine,2,4,,,,1.0,168,14,45,100,5.0,0.25,10,tt
wine,2,4,,,,0.9629629629629629,168,13,46,100,5.0,0.25,10,tt
wine,2,8,,,,1.0,336,12,42,100,5.0,0.25,10,tt
wine,2,8,,,,1.0,336,11,43,100,5.0,0.25,10,tt
wine,2,8,,,,1.0,336,13,44,100,5.0,0.25,10,tt
wine,2,8,,,,1.0,336,11,45,100,5.0,0.25,10,tt
wine,2,8,,,,1.0,336,11,46,100,5.0,0.25,10,tt
wine,2,12,,,,1.0,504,11,42,100,5.0,0.25,10,tt
wine,2,12,,,,1.0,504,12,43,100,5.0,0.25,10,tt
wine,2,12,,,,1.0,504,12,44,100,5.0,0.25,10,tt
wine,2,12,,,,1.0,504,11,45,100,5.0,0.25,10,tt
wine,2,12,,,,1.0,504,19,46,100,5.0,0.25,10,tt
wine,2,16,,,,1.0,672,11,42,100,5.0,0.25,10,tt
wine,2,16,,,,1.0,672,11,43,100,5.0,0.25,10,tt
wine,2,16,,,,1.0,672,11,44,100,5.0,0.25,10,tt
wine,2,16,,,,1.0,672,11,45,100,5.0,0.25,10,tt
wine,2,16,,,,1.0,672,11,46,100,5.0,0.25,10,tt
wine,3,4,,,,1.0,392,19,42,100,5.0,0.25,10,tt
wine,3,4,,,,1.0,392,19,43,100,5.0,0.25,10,tt
wine,3,4,,,,1.0,392,13,44,100,5.0,0.25,10,tt
wine,3,4,,,,0.9629629629629629,392,12,45,100,5.0,0.25,10,tt
wine,3,4,,,,0.9629629629629629,392,12,46,100,5.0,0.25,10,tt
wine,3,8,,,,1.0,1232,16,42,100,5.0,0.25,10,tt
wine,3,8,,,,1.0,1232,14,43,100,5.0,0.25,10,tt
wine,3,8,,,,1.0,1232,18,44,100,5.0,0.25,10,tt
wine,3,8,,,,1.0,1232,11,45,100,5.0,0.25,10,tt
wine,3,8,,,,0.9629629629629629,1232,14,46,100,5.0,0.25,10,tt
wine,3,12,,,,1.0,2520,14,42,100,5.0,0.25,10,tt
wine,3,12,,,,1.0,2520,16,43,100,5.0,0.25,10,tt
wine,3,12,,,,1.0,2520,12,44,100,5.0,0.25,10,tt
wine,3,12,,,,1.0,2520,14,45,100,5.0,0.25,10,tt
wine,3,12,,,,1.0,2520,15,46,100,5.0,0.25,10,tt
wine,3,16,,,,1.0,4256,13,42,100,5.0,0.25,10,tt
wine,3,16,,,,1.0,4256,15,43,100,5.0,0.25,10,tt
wine,3,16,,,,1.0,4256,15,44,100,5.0,0.25,10,tt
wine,3,16,,,,1.0,4256,12,45,100,5.0,0.25,10,tt
wine,3,16,,,,1.0,4256,14,46,100,5.0,0.25,10,tt
wine,4,4,,,,1.0,616,17,42,100,5.0,0.25,10,tt
wine,4,4,,,,1.0,616,16,43,100,5.0,0.25,10,tt
wine,4,4,,,,1.0,616,17,44,100,5.0,0.25,10,tt
wine,4,4,,,,1.0,616,18,45,100,5.0,0.25,10,tt
wine,4,4,,,,1.0,616,18,46,100,5.0,0.25,10,tt
wine,4,8,,,,1.0,2128,15,42,100,5.0,0.25,10,tt
wine,4,8,,,,1.0,2128,18,43,100,5.0,0.25,10,tt
wine,4,8,,,,1.0,2128,12,44,100,5.0,0.25,10,tt
wine,4,8,,,,1.0,2128,13,45,100,5.0,0.25,10,tt
wine,4,8,,,,1.0,2128,13,46,100,5.0,0.25,10,tt
wine,4,12,,,,1.0,4536,13,42,100,5.0,0.25,10,tt
wine,4,12,,,,1.0,4536,18,43,100,5.0,0.25,10,tt
wine,4,12,,,,1.0,4536,13,44,100,5.0,0.25,10,tt
wine,4,12,,,,1.0,4536,12,45,100,5.0,0.25,10,tt
wine,4,12,,,,1.0,4536,12,46,100,5.0,0.25,10,tt
wine,4,16,,,,1.0,7840,12,42,100,5.0,0.25,10,tt
wine,4,16,,,,1.0,7840,12,43,100,5.0,0.25,10,tt
wine,4,16,,,,1.0,7840,13,44,100,5.0,0.25,10,tt
wine,4,16,,,,1.0,7840,12,45,100,5.0,0.25,10,tt
wine,4,16,,,,1.0,7840,12,46,100,5.0,0.25,10,tt
wine,5,4,,,,1.0,840,20,42,100,5.0,0.25,10,tt
wine,5,4,,,,0.9629629629629629,840,21,43,100,5.0,0.25,10,tt
wine,5,4,,,,1.0,840,17,44,100,5.0,0.25,10,tt
wine,5,4,,,,1.0,840,21,45,100,5.0,0.25,10,tt
wine,5,4,,,,1.0,840,13,46,100,5.0,0.25,10,tt
wine,5,8,,,,1.0,3024,12,42,100,5.0,0.25,10,tt
wine,5,8,,,,1.0,3024,18,43,100,5.0,0.25,10,tt
wine,5,8,,,,1.0,3024,17,44,100,5.0,0.25,10,tt
wine,5,8,,,,0.9259259259259259,3024,16,45,100,5.0,0.25,10,tt
wine,5,8,,,,1.0,3024,18,46,100,5.0,0.25,10,tt
wine,5,12,,,,1.0,6552,17,42,100,5.0,0.25,10,tt
wine,5,12,,,,1.0,6552,18,43,100,5.0,0.25,10,tt
wine,5,12,,,,1.0,6552,18,44,100,5.0,0.25,10,tt
wine,5,12,,,,0.9629629629629629,6552,13,45,100,5.0,0.25,10,tt
wine,5,12,,,,1.0,6552,21,46,100,5.0,0.25,10,tt
wine,5,16,,,,1.0,11424,14,42,100,5.0,0.25,10,tt
wine,5,16,,,,1.0,11424,13,43,100,5.0,0.25,10,tt
wine,5,16,,,,0.9629629629629629,11424,12,44,100,5.0,0.25,10,tt
wine,5,16,,,,1.0,11424,17,45,100,5.0,0.25,10,tt
wine,5,16,,,,1.0,11424,16,46,100,5.0,0.25,10,tt
wine,6,4,,,,1.0,1064,25,42,100,5.0,0.25,10,tt
wine,6,4,,,,0.8888888888888888,1064,22,43,100,5.0,0.25,10,tt
wine,6,4,,,,1.0,1064,20,44,100,5.0,0.25,10,tt
wine,6,4,,,,1.0,1064,28,45,100,5.0,0.25,10,tt
wine,6,4,,,,0.9259259259259259,1064,18,46,100,5.0,0.25,10,tt
wine,6,8,,,,1.0,3920,18,42,100,5.0,0.25,10,tt
wine,6,8,,,,1.0,3920,21,43,100,5.0,0.25,10,tt
wine,6,8,,,,1.0,3920,20,44,100,5.0,0.25,10,tt
wine,6,8,,,,1.0,3920,17,45,100,5.0,0.25,10,tt
wine,6,8,,,,1.0,3920,20,46,100,5.0,0.25,10,tt
wine,6,12,,,,1.0,8568,14,42,100,5.0,0.25,10,tt
wine,6,12,,,,0.9629629629629629,8568,13,43,100,5.0,0.25,10,tt
wine,6,12,,,,1.0,8568,20,44,100,5.0,0.25,10,tt
wine,6,12,,,,0.9629629629629629,8568,15,45,100,5.0,0.25,10,tt
wine,6,12,,,,1.0,8568,17,46,100,5.0,0.25,10,tt
wine,6,16,,,,1.0,15008,13,42,100,5.0,0.25,10,tt
wine,6,16,,,,1.0,15008,15,43,100,5.0,0.25,10,tt
wine,6,16,,,,0.9629629629629629,15008,17,44,100,5.0,0.25,10,tt
wine,6,16,,,,1.0,15008,14,45,100,5.0,0.25,10,tt
wine,6,16,,,,1.0,15008,19,46,100,5.0,0.25,10,tt
