dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,2,4,,,,1.0,184,12,42,100,5.0,0.25,10,tt_type1
wine,2,4,,,,1.0,184,12,43,100,5.0,0.25,10,tt_type1
wine,2,4,,,,1.0,184,12,44,100,5.0,0.25,10,tt_type1
wine,2,4,,,,1.0,184,13,45,100,5.0,0.25,10,tt_type1
wine,2,4,,,,1.0,184,12,46,100,5.0,0.25,10,tt_type1
wine,2,8,,,,1.0,340,12,42,100,5.0,0.25,10,tt_type1
wine,2,8,,,,1.0,340,12,43,100,5.0,0.25,10,tt_type1
wine,2,8,,,,1.0,340,12,44,100,5.0,0.25,10,tt_type1
wine,2,8,,,,1.0,340,12,45,100,5.0,0.25,10,tt_type1
wine,2,8,,,,1.0,340,12,46,100,5.0,0.25,10,tt_type1
wine,2,12,,,,1.0,496,11,42,100,5.0,0.25,10,tt_type1
wine,2,12,,,,1.0,496,19,43,100,5.0,0.25,10,tt_type1
wine,2,12,,,,1.0,496,11,44,100,5.0,0.25,10,tt_type1
wine,2,12,,,,1.0,496,12,45,100,5.0,0.25,10,tt_type1
wine,2,12,,,,1.0,496,12,46,100,5.0,0.25,10,tt_type1
wine,2,16,,,,1.0,652,12,42,100,5.0,0.25,10,tt_type1
wine,2,16,,,,1.0,652,12,43,100,5.0,0.25,10,tt_type1
wine,2,16,,,,1.0,652,12,44,100,5.0,0.25,10,tt_type1
wine,2,16,,,,1.0,652,12,45,100,5.0,0.25,10,tt_type1
wine,2,16,,,,1.0,652,11,46,100,5.0,0.25,10,tt_type1
wine,3,4,,,,1.0,548,12,42,100,5.0,0.25,10,tt_type1
wine,3,4,,,,1.0,548,15,43,100,5.0,0.25,10,tt_type1
wine,3,4,,,,1.0,548,12,44,100,5.0,0.25,10,tt_type1
wine,3,4,,,,1.0,548,14,45,100,5.0,0.25,10,tt_type1
wine,3,4,,,,1.0,548,12,46,100,5.0,0.25,10,tt_type1
wine,3,8,,,,1.0,1484,12,42,100,5.0,0.25,10,tt_type1
wine,3,8,,,,1.0,1484,14,43,100,5.0,0.25,10,tt_type1
wine,3,8,,,,1.0,1484,12,44,100,5.0,0.25,10,tt_type1
wine,3,8,,,,1.0,1484,11,45,100,5.0,0.25,10,tt_type1
wine,3,8,,,,1.0,1484,12,46,100,5.0,0.25,10,tt_type1
wine,3,12,,,,1.0,2836,12,42,100,5.0,0.25,10,tt_type1
wine,3,12,,,,1.0,2836,12,43,100,5.0,0.25,10,tt_type1
wine,3,12,,,,1.0,2836,12,44,100,5.0,0.25,10,tt_type1
wine,3,12,,,,1.0,2836,12,45,100,5.0,0.25,10,tt_type1
wine,3,12,,,,1.0,2836,12,46,100,5.0,0.25,10,tt_type1
wine,3,16,,,,1.0,4604,12,42,100,5.0,0.25,10,tt_type1
wine,3,16,,,,1.0,4604,12,43,100,5.0,0.25,10,tt_type1
wine,3,16,,,,1.0,4604,14,44,100,5.0,0.25,10,tt_type1
wine,3,16,,,,1.0,4604,12,45,100,5.0,0.25,10,tt_type1
wine,3,16,,,,1.0,4604,11,46,100,5.0,0.25,10,tt_type1
wine,4,4,,,,1.0,1120,12,42,100,5.0,0.25,10,tt_type1
wine,4,4,,,,1.0,1120,12,43,100,5.0,0.25,10,tt_type1
wine,4,4,,,,1.0,1120,11,44,100,5.0,0.25,10,tt_type1
wine,4,4,,,,1.0,1120,12,45,100,5.0,0.25,10,tt_type1
wine,4,4,,,,1.0,1120,15,46,100,5.0,0.25,10,tt_type1
wine,4,8,,,,1.0,3460,12,42,100,5.0,0.25,10,tt_type1
wine,4,8,,,,1.0,3460,12,43,100,5.0,0.25,10,tt_type1
