dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5497435897435897,336,13,42,100,5.0,0.25,10,tt
winequalityc,2,4,,,,0.5497435897435897,336,17,43,100,5.0,0.25,10,tt
winequalityc,2,4,,,,0.5538461538461539,336,20,44,100,5.0,0.25,10,tt
winequalityc,2,4,,,,0.5446153846153846,336,13,45,100,5.0,0.25,10,tt
winequalityc,2,4,,,,0.5466666666666666,336,12,46,100,5.0,0.25,10,tt
winequalityc,2,8,,,,0.5384615384615384,672,10,42,100,5.0,0.25,10,tt
winequalityc,2,8,,,,0.5425641025641026,672,15,43,100,5.0,0.25,10,tt
winequalityc,2,8,,,,0.5528205128205128,672,13,44,100,5.0,0.25,10,tt
winequalityc,2,8,,,,0.5558974358974359,672,19,45,100,5.0,0.25,10,tt
winequalityc,2,8,,,,0.5538461538461539,672,15,46,100,5.0,0.25,10,tt
winequalityc,2,12,,,,0.5558974358974359,1008,15,42,100,5.0,0.25,10,tt
winequalityc,2,12,,,,0.5517948717948717,1008,14,43,100,5.0,0.25,10,tt
winequalityc,2,12,,,,0.5538461538461539,1008,16,44,100,5.0,0.25,10,tt
winequalityc,2,12,,,,0.5528205128205128,1008,15,45,100,5.0,0.25,10,tt
winequalityc,2,12,,,,0.5312820512820513,1008,9,46,100,5.0,0.25,10,tt
winequalityc,2,16,,,,0.5538461538461539,1344,13,42,100,5.0,0.25,10,tt
winequalityc,2,16,,,,0.5528205128205128,1344,15,43,100,5.0,0.25,10,tt
winequalityc,2,16,,,,0.5538461538461539,1344,15,44,100,5.0,0.25,10,tt
winequalityc,2,16,,,,0.556923076923077,1344,16,45,100,5.0,0.25,10,tt
winequalityc,2,16,,,,0.5528205128205128,1344,13,46,100,5.0,0.25,10,tt
winequalityc,3,4,,,,0.4676923076923077,528,9,42,100,5.0,0.25,10,tt
winequalityc,3,4,,,,0.42153846153846153,528,7,43,100,5.0,0.25,10,tt
winequalityc,3,4,,,,0.3712820512820513,528,8,44,100,5.0,0.25,10,tt
winequalityc,3,4,,,,0.5312820512820513,528,16,45,100,5.0,0.25,10,tt
winequalityc,3,4,,,,0.49230769230769234,528,9,46,100,5.0,0.25,10,tt
winequalityc,3,8,,,,0.4687179487179487,1440,7,42,100,5.0,0.25,10,tt
winequalityc,3,8,,,,0.48,1440,9,43,100,5.0,0.25,10,tt
winequalityc,3,8,,,,0.48512820512820515,1440,8,44,100,5.0,0.25,10,tt
winequalityc,3,8,,,,0.4543589743589744,1440,7,45,100,5.0,0.25,10,tt
winequalityc,3,8,,,,0.48307692307692307,1440,7,46,100,5.0,0.25,10,tt
winequalityc,3,12,,,,0.5015384615384615,2736,7,42,100,5.0,0.25,10,tt
winequalityc,3,12,,,,0.56,2736,18,43,100,5.0,0.25,10,tt
winequalityc,3,12,,,,0.4543589743589744,2736,7,44,100,5.0,0.25,10,tt
winequalityc,3,12,,,,0.556923076923077,2736,20,45,100,5.0,0.25,10,tt
winequalityc,3,12,,,,0.5435897435897435,2736,11,46,100,5.0,0.25,10,tt
winequalityc,3,16,,,,0.5261538461538462,4416,10,42,100,5.0,0.25,10,tt
winequalityc,3,16,,,,0.5579487179487179,4416,15,43,100,5.0,0.25,10,tt
winequalityc,3,16,,,,0.5169230769230769,4416,9,44,100,5.0,0.25,10,tt
winequalityc,3,16,,,,0.49435897435897436,4416,8,45,100,5.0,0.25,10,tt
winequalityc,3,16,,,,0.522051282051282,4416,9,46,100,5.0,0.25,10,tt
winequalityc,4,4,,,,0.4512820512820513,720,8,42,100,5.0,0.25,10,tt
winequalityc,4,4,,,,0.4338461538461538,720,7,43,100,5.0,0.25,10,tt
winequalityc,4,4,,,,0.2953846153846154,720,7,44,100,5.0,0.25,10,tt
winequalityc,4,4,,,,0.38153846153846155,720,7,45,100,5.0,0.25,10,tt
winequalityc,4,4,,,,0.4748717948717949,720,13,46,100,5.0,0.25,10,tt
winequalityc,4,8,,,,0.4594871794871795,2208,8,42,100,5.0,0.25,10,tt
winequalityc,4,8,,,,0.42256410256410254,2208,14,43,100,5.0,0.25,10,tt
winequalityc,4,8,,,,0.4317948717948718,2208,7,44,100,5.0,0.25,10,tt
winequalityc,4,8,,,,0.4676923076923077,2208,7,45,100,5.0,0.25,10,tt
winequalityc,4,8,,,,0.4594871794871795,2208,8,46,100,5.0,0.25,10,tt
winequalityc,4,12,,,,0.4728205128205128,4464,7,42,100,5.0,0.25,10,tt
winequalityc,4,12,,,,0.5323076923076923,4464,13,43,100,5.0,0.25,10,tt
winequalityc,4,12,,,,0.48,4464,8,44,100,5.0,0.25,10,tt
winequalityc,4,12,,,,0.4717948717948718,4464,7,45,100,5.0,0.25,10,tt
winequalityc,4,12,,,,0.47692307692307695,4464,7,46,100,5.0,0.25,10,tt
winequalityc,4,16,,,,0.46974358974358976,7488,11,42,100,5.0,0.25,10,tt
winequalityc,4,16,,,,0.48615384615384616,7488,7,43,100,5.0,0.25,10,tt
winequalityc,4,16,,,,0.5517948717948717,7488,15,44,100,5.0,0.25,10,tt
winequalityc,4,16,,,,0.4605128205128205,7488,7,45,100,5.0,0.25,10,tt
winequalityc,4,16,,,,0.4441025641025641,7488,6,46,100,5.0,0.25,10,tt
winequalityc,5,4,,,,0.3558974358974359,912,6,42,100,5.0,0.25,10,tt
winequalityc,5,4,,,,0.3241025641025641,912,7,43,100,5.0,0.25,10,tt
winequalityc,5,4,,,,0.4246153846153846,912,5,44,100,5.0,0.25,10,tt
winequalityc,5,4,,,,0.37846153846153846,912,7,45,100,5.0,0.25,10,tt
winequalityc,5,4,,,,0.36205128205128206,912,7,46,100,5.0,0.25,10,tt
winequalityc,5,8,,,,0.38769230769230767,2976,7,42,100,5.0,0.25,10,tt
winequalityc,5,8,,,,0.36512820512820515,2976,6,43,100,5.0,0.25,10,tt
winequalityc,5,8,,,,0.2276923076923077,2976,6,44,100,5.0,0.25,10,tt
winequalityc,5,8,,,,0.30666666666666664,2976,7,45,100,5.0,0.25,10,tt
winequalityc,5,8,,,,0.3682051282051282,2976,8,46,100,5.0,0.25,10,tt
winequalityc,5,12,,,,0.4574358974358974,6192,7,42,100,5.0,0.25,10,tt
winequalityc,5,12,,,,0.38153846153846155,6192,7,43,100,5.0,0.25,10,tt
winequalityc,5,12,,,,0.36615384615384616,6192,6,44,100,5.0,0.25,10,tt
winequalityc,5,12,,,,0.28615384615384615,6192,7,45,100,5.0,0.25,10,tt
winequalityc,5,12,,,,0.36615384615384616,6192,11,46,100,5.0,0.25,10,tt
winequalityc,5,16,,,,0.438974358974359,10560,12,42,100,5.0,0.25,10,tt
winequalityc,5,16,,,,0.38461538461538464,10560,6,43,100,5.0,0.25,10,tt
winequalityc,5,16,,,,0.3292307692307692,10560,7,44,100,5.0,0.25,10,tt
