dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5517948717948717,380,22,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,4,,,,0.5528205128205128,380,27,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,4,,,,0.5548717948717948,380,26,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,4,,,,0.5507692307692308,380,32,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,4,,,,0.5476923076923077,380,25,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,8,,,,0.5548717948717948,688,22,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,8,,,,0.5497435897435897,688,22,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,8,,,,0.5507692307692308,688,31,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,8,,,,0.5476923076923077,688,22,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,8,,,,0.5517948717948717,688,22,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,12,,,,0.5517948717948717,996,22,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,12,,,,0.5497435897435897,996,22,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,12,,,,0.5548717948717948,996,22,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,12,,,,0.5517948717948717,996,21,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,12,,,,0.5128205128205128,996,11,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,16,,,,0.5558974358974359,1304,22,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,16,,,,0.5579487179487179,1304,22,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,16,,,,0.518974358974359,1304,11,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,16,,,,0.5405128205128205,1304,15,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,2,16,,,,0.558974358974359,1304,22,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,4,,,,0.556923076923077,864,26,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,4,,,,0.5148717948717949,864,14,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,4,,,,0.5466666666666666,864,22,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,4,,,,0.5743589743589743,864,36,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,4,,,,0.558974358974359,864,31,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,8,,,,0.5528205128205128,2008,22,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,8,,,,0.556923076923077,2008,22,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,8,,,,0.5682051282051283,2008,26,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,8,,,,0.558974358974359,2008,22,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,8,,,,0.5517948717948717,2008,23,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,12,,,,0.5261538461538462,3504,14,42,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,12,,,,0.5620512820512821,3504,25,43,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,12,,,,0.5435897435897435,3504,18,44,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,12,,,,0.5374358974358975,3504,16,45,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,12,,,,0.5671794871794872,3504,27,46,100,5.0,0.25,10,tt_cumsum_type1
winequalityc,3,16,,,,0.563076923076923,5352,21,42,100,5.0,0.25,10,tt_cumsum_type1
