dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5517948717948717,380,17,42,100,5.0,0.25,10,tt_type1
winequalityc,2,4,,,,0.5415384615384615,380,17,43,100,5.0,0.25,10,tt_type1
winequalityc,2,4,,,,0.5538461538461539,380,25,44,100,5.0,0.25,10,tt_type1
winequalityc,2,4,,,,0.5517948717948717,380,23,45,100,5.0,0.25,10,tt_type1
winequalityc,2,4,,,,0.5466666666666666,380,21,46,100,5.0,0.25,10,tt_type1
winequalityc,2,8,,,,0.5487179487179488,688,25,42,100,5.0,0.25,10,tt_type1
winequalityc,2,8,,,,0.5476923076923077,688,16,43,100,5.0,0.25,10,tt_type1
winequalityc,2,8,,,,0.5528205128205128,688,22,44,100,5.0,0.25,10,tt_type1
winequalityc,2,8,,,,0.5292307692307693,688,13,45,100,5.0,0.25,10,tt_type1
winequalityc,2,8,,,,0.5507692307692308,688,31,46,100,5.0,0.25,10,tt_type1
winequalityc,2,12,,,,0.5528205128205128,996,22,42,100,5.0,0.25,10,tt_type1
winequalityc,2,12,,,,0.5538461538461539,996,22,43,100,5.0,0.25,10,tt_type1
winequalityc,2,12,,,,0.5528205128205128,996,22,44,100,5.0,0.25,10,tt_type1
winequalityc,2,12,,,,0.5497435897435897,996,22,45,100,5.0,0.25,10,tt_type1
winequalityc,2,12,,,,0.5507692307692308,996,22,46,100,5.0,0.25,10,tt_type1
winequalityc,2,16,,,,0.5579487179487179,1304,22,42,100,5.0,0.25,10,tt_type1
winequalityc,2,16,,,,0.5548717948717948,1304,22,43,100,5.0,0.25,10,tt_type1
winequalityc,2,16,,,,0.5517948717948717,1304,22,44,100,5.0,0.25,10,tt_type1
winequalityc,2,16,,,,0.5538461538461539,1304,22,45,100,5.0,0.25,10,tt_type1
winequalityc,2,16,,,,0.561025641025641,1304,22,46,100,5.0,0.25,10,tt_type1
winequalityc,3,4,,,,0.5292307692307693,864,14,42,100,5.0,0.25,10,tt_type1
winequalityc,3,4,,,,0.5466666666666666,864,25,43,100,5.0,0.25,10,tt_type1
winequalityc,3,4,,,,0.5425641025641026,864,22,44,100,5.0,0.25,10,tt_type1
winequalityc,3,4,,,,0.5517948717948717,864,29,45,100,5.0,0.25,10,tt_type1
winequalityc,3,4,,,,0.5764102564102564,864,37,46,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5476923076923077,2008,18,42,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.522051282051282,2008,15,43,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5251282051282051,2008,15,44,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5261538461538462,2008,14,45,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5548717948717948,2008,26,46,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5312820512820513,3504,18,42,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5651282051282052,3504,24,43,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5343589743589744,3504,13,44,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5712820512820512,3504,22,45,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5743589743589743,3504,25,46,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.522051282051282,5352,14,42,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.5579487179487179,5352,24,43,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.5312820512820513,5352,15,44,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.5364102564102564,5352,19,45,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.5405128205128205,5352,15,46,100,5.0,0.25,10,tt_type1
winequalityc,4,4,,,,0.5323076923076923,1524,15,42,100,5.0,0.25,10,tt_type1
winequalityc,4,4,,,,0.5548717948717948,1524,39,43,100,5.0,0.25,10,tt_type1
winequalityc,4,4,,,,0.5292307692307693,1524,12,44,100,5.0,0.25,10,tt_type1
winequalityc,4,4,,,,0.5148717948717949,1524,12,45,100,5.0,0.25,10,tt_type1
winequalityc,4,4,,,,0.5261538461538462,1524,13,46,100,5.0,0.25,10,tt_type1
winequalityc,4,8,,,,0.5641025641025641,4032,39,42,100,5.0,0.25,10,tt_type1
winequalityc,4,8,,,,0.5394871794871795,4032,15,43,100,5.0,0.25,10,tt_type1
winequalityc,4,8,,,,0.5282051282051282,4032,15,44,100,5.0,0.25,10,tt_type1
winequalityc,4,8,,,,0.5230769230769231,4032,11,45,100,5.0,0.25,10,tt_type1
winequalityc,4,8,,,,0.5169230769230769,4032,11,46,100,5.0,0.25,10,tt_type1
winequalityc,4,12,,,,0.5497435897435897,7596,27,42,100,5.0,0.25,10,tt_type1
winequalityc,4,12,,,,0.5241025641025641,7596,11,43,100,5.0,0.25,10,tt_type1
winequalityc,4,12,,,,0.5251282051282051,7596,11,44,100,5.0,0.25,10,tt_type1
winequalityc,4,12,,,,0.517948717948718,7596,11,45,100,5.0,0.25,10,tt_type1
winequalityc,4,12,,,,0.5651282051282052,7596,33,46,100,5.0,0.25,10,tt_type1
