dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
gesture,3,16,,,,0.4483457123565159,3168,21,42,100,5.0,0.75,10,cpd
gesture,3,16,,,,0.4571235651586766,3168,14,43,100,5.0,0.75,10,cpd
gesture,3,16,,,,0.45442268737339636,3168,12,44,100,5.0,0.75,10,cpd
gesture,3,16,,,,0.4442943956785955,3168,11,45,100,5.0,0.75,10,cpd
gesture,3,16,,,,0.4490209318028359,3168,18,46,100,5.0,0.75,10,cpd
gesture,3,64,,,,0.4888588791357191,12672,32,42,100,5.0,0.75,10,cpd
gesture,3,64,,,,0.47197839297771776,12672,16,43,100,5.0,0.75,10,cpd
gesture,3,64,,,,0.4949358541525996,12672,53,44,100,5.0,0.75,10,cpd
gesture,3,64,,,,0.48953409858203917,12672,45,45,100,5.0,0.75,10,cpd
gesture,3,64,,,,0.50033760972316,12672,50,46,100,5.0,0.75,10,cpd
gesture,3,144,,,,0.48075624577987847,28512,17,42,100,5.0,0.75,10,cpd
gesture,3,144,,,,0.47805536799459825,28512,23,43,100,5.0,0.75,10,cpd
gesture,3,144,,,,0.5064145847400405,28512,64,44,100,5.0,0.75,10,cpd
gesture,3,144,,,,0.4814314652261985,28512,22,45,100,5.0,0.75,10,cpd
gesture,3,144,,,,0.49426063470627957,28512,30,46,100,5.0,0.75,10,cpd
gesture,4,16,,,,0.4402430790006752,3696,19,42,100,5.0,0.75,10,cpd
gesture,4,16,,,,0.4523970290344362,3696,12,43,100,5.0,0.75,10,cpd
gesture,4,16,,,,0.4483457123565159,3696,15,44,100,5.0,0.75,10,cpd
gesture,4,16,,,,0.43416610398379474,3696,16,45,100,5.0,0.75,10,cpd
gesture,4,16,,,,0.44564483457123566,3696,17,46,100,5.0,0.75,10,cpd
gesture,4,64,,,,0.45172180958811614,14784,11,42,100,5.0,0.75,10,cpd
gesture,4,64,,,,0.475354490209318,14784,34,43,100,5.0,0.75,10,cpd
gesture,4,64,,,,0.49088453747467925,14784,46,44,100,5.0,0.75,10,cpd
gesture,4,64,,,,0.45644834571235654,14784,11,45,100,5.0,0.75,10,cpd
gesture,4,64,,,,0.49155975692099935,14784,54,46,100,5.0,0.75,10,cpd
gesture,4,144,,,,0.48480756245779877,33264,29,42,100,5.0,0.75,10,cpd
gesture,4,144,,,,0.48818365968939903,33264,41,43,100,5.0,0.75,10,cpd
gesture,4,144,,,,0.49696151249155973,33264,47,44,100,5.0,0.75,10,cpd
gesture,4,144,,,,0.48210668467251855,33264,26,45,100,5.0,0.75,10,cpd
gesture,4,144,,,,0.45847400405131666,33264,11,46,100,5.0,0.75,10,cpd
gesture,5,16,,,,0.4611748818365969,4224,32,42,100,5.0,0.75,10,cpd
gesture,5,16,,,,0.42808912896691426,4224,12,43,100,5.0,0.75,10,cpd
gesture,5,16,,,,0.39297771775827145,4224,9,44,100,5.0,0.75,10,cpd
gesture,5,16,,,,0.399729912221472,4224,16,45,100,5.0,0.75,10,cpd
gesture,5,16,,,,0.32950708980418636,4224,9,46,100,5.0,0.75,10,cpd
gesture,5,64,,,,0.4355165428764348,16896,27,42,100,5.0,0.75,10,cpd
gesture,5,64,,,,0.4449696151249156,16896,10,43,100,5.0,0.75,10,cpd
gesture,5,64,,,,0.47805536799459825,16896,49,44,100,5.0,0.75,10,cpd
gesture,5,64,,,,0.4436191762322755,16896,11,45,100,5.0,0.75,10,cpd
gesture,5,64,,,,0.46725185685347737,16896,21,46,100,5.0,0.75,10,cpd
gesture,5,144,,,,0.44564483457123566,38016,7,42,100,5.0,0.75,10,cpd
