dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.4009645058006441,0.8497512258803673,,190,355,42,100,5.0,0.75,10,cpd_type1
concrete,3,4,,0.49446140017860235,0.771511752544455,,190,114,43,100,5.0,0.75,10,cpd_type1
concrete,3,4,,0.4031288869866611,0.8481247811055208,,190,586,44,100,5.0,0.75,10,cpd_type1
concrete,3,4,,0.48600054022622646,0.7792642980528085,,190,155,45,100,5.0,0.75,10,cpd_type1
concrete,3,4,,0.459106621612659,0.8030181594671582,,190,121,46,100,5.0,0.75,10,cpd_type1
concrete,3,8,,0.41877035891823156,0.8361105694256663,,370,196,42,100,5.0,0.75,10,cpd_type1
concrete,3,8,,0.4515959070123635,0.8094104555079175,,370,154,43,100,5.0,0.75,10,cpd_type1
concrete,3,8,,0.38172020981789523,0.863827507877953,,370,406,44,100,5.0,0.75,10,cpd_type1
concrete,3,8,,0.3935427221934123,0.8552619062036436,,370,344,45,100,5.0,0.75,10,cpd_type1
concrete,3,8,,0.3961632260999458,0.8533279381377817,,370,207,46,100,5.0,0.75,10,cpd_type1
concrete,3,12,,0.41462462530394695,0.8393394453231344,,550,404,42,100,5.0,0.75,10,cpd_type1
concrete,3,12,,0.376732262350799,0.8673629954912403,,550,347,43,100,5.0,0.75,10,cpd_type1
concrete,3,12,,0.5062376070122856,0.7604986933965053,,550,95,44,100,5.0,0.75,10,cpd_type1
concrete,3,12,,0.39922615532633154,0.8510511856039034,,550,198,45,100,5.0,0.75,10,cpd_type1
concrete,3,12,,0.4055600973801641,0.8462873834877096,,550,186,46,100,5.0,0.75,10,cpd_type1
concrete,3,16,,0.3982023161840329,0.8518141821019011,,730,544,42,100,5.0,0.75,10,cpd_type1
concrete,3,16,,0.39130569251094827,0.8569027098404076,,730,464,43,100,5.0,0.75,10,cpd_type1
concrete,3,16,,0.3597756666236743,0.8790341863350765,,730,509,44,100,5.0,0.75,10,cpd_type1
