dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.37869711604165057,0.8659758463246539,,240,80,42,100,5.0,0.75,10,tt
concrete,3,4,,0.38751792066422824,0.8596596161040231,,240,87,43,100,5.0,0.75,10,tt
concrete,3,4,,0.410182864828937,0.8427632328803275,,240,53,44,100,5.0,0.75,10,tt
concrete,3,4,,0.37765315889773415,0.8667137585703947,,240,68,45,100,5.0,0.75,10,tt
concrete,3,4,,0.3895368176468932,0.8581935118634955,,240,69,46,100,5.0,0.75,10,tt
concrete,3,8,,0.3852770462047897,0.8612779975453093,,800,60,42,100,5.0,0.75,10,tt
concrete,3,8,,0.36925793231878506,0.8725737962464393,,800,91,43,100,5.0,0.75,10,tt
concrete,3,8,,0.40906494278902583,0.8436191385123704,,800,38,44,100,5.0,0.75,10,tt
concrete,3,8,,0.40079678377820116,0.8498768966435369,,800,54,45,100,5.0,0.75,10,tt
concrete,3,8,,0.4071316029520348,0.8450938329092532,,800,38,46,100,5.0,0.75,10,tt
concrete,3,12,,0.40575096248891523,0.8461426686645072,,1680,49,42,100,5.0,0.75,10,tt
concrete,3,12,,0.3732899144745116,0.8697758322461947,,1680,82,43,100,5.0,0.75,10,tt
concrete,3,12,,0.4094488943646641,0.8433254401278376,,1680,34,44,100,5.0,0.75,10,tt
concrete,3,12,,0.398021420468131,0.8519487875010057,,1680,53,45,100,5.0,0.75,10,tt
concrete,3,12,,0.3838072338048233,0.8623344134216622,,1680,60,46,100,5.0,0.75,10,tt
concrete,4,4,,0.31996303965781736,0.9043249482505364,,400,119,42,100,5.0,0.75,10,tt
concrete,4,4,,0.3165851719840699,0.9063343788554503,,400,103,43,100,5.0,0.75,10,tt
concrete,4,4,,0.3368567506229643,0.893955148562456,,400,103,44,100,5.0,0.75,10,tt
concrete,4,4,,0.3060781824302255,0.9124484527788286,,400,103,45,100,5.0,0.75,10,tt
concrete,4,4,,0.3337338337106921,0.895912266326124,,400,85,46,100,5.0,0.75,10,tt
concrete,4,8,,0.31881093495161805,0.9050127103541212,,1440,82,42,100,5.0,0.75,10,tt
concrete,4,8,,0.3330577227672427,0.896333581533331,,1440,66,43,100,5.0,0.75,10,tt
concrete,4,8,,0.31318537888637576,0.9083353181554779,,1440,90,44,100,5.0,0.75,10,tt
concrete,4,8,,0.3282810042797895,0.8992858284671281,,1440,90,45,100,5.0,0.75,10,tt
concrete,4,8,,0.32031275187601355,0.9041156927101371,,1440,90,46,100,5.0,0.75,10,tt
concrete,4,12,,0.3285146496496998,0.8991424161253625,,3120,84,42,100,5.0,0.75,10,tt
concrete,4,12,,0.3257901553351477,0.9008083781345856,,3120,88,43,100,5.0,0.75,10,tt
concrete,4,12,,0.3209193883980508,0.9037521604862477,,3120,82,44,100,5.0,0.75,10,tt
concrete,4,12,,0.34002545262421396,0.8919507062044023,,3120,63,45,100,5.0,0.75,10,tt
concrete,4,12,,0.3353495301040348,0.894901992584858,,3120,76,46,100,5.0,0.75,10,tt
concrete,5,4,,0.28708441422312597,0.9229773762568836,,560,108,42,100,5.0,0.75,10,tt
concrete,5,4,,0.2942125676971736,0.9191050299664593,,560,126,43,100,5.0,0.75,10,tt
concrete,5,4,,0.3031590922489341,0.9141104605753934,,560,117,44,100,5.0,0.75,10,tt
concrete,5,4,,0.3035445995604551,0.9138918816256689,,560,118,45,100,5.0,0.75,10,tt
concrete,5,4,,0.29874105721807176,0.916595611015663,,560,187,46,100,5.0,0.75,10,tt
concrete,5,8,,0.29689235986219525,0.9176246787303846,,2080,102,42,100,5.0,0.75,10,tt
concrete,5,8,,0.2843679449599904,0.9244280972752827,,2080,93,43,100,5.0,0.75,10,tt
concrete,5,8,,0.28620775515088875,0.923447060314426,,2080,102,44,100,5.0,0.75,10,tt
concrete,5,8,,0.3220508009893833,0.903072313896555,,2080,109,45,100,5.0,0.75,10,tt
concrete,5,8,,0.2854752668042184,0.9238384010817982,,2080,92,46,100,5.0,0.75,10,tt
concrete,5,12,,0.28447992150228685,0.9243685691419437,,4560,92,42,100,5.0,0.75,10,tt
concrete,5,12,,0.3114719933158163,0.9093355393499585,,4560,85,43,100,5.0,0.75,10,tt
concrete,5,12,,0.32788857666891863,0.8995264722951928,,4560,85,44,100,5.0,0.75,10,tt
concrete,5,12,,0.29583270365055414,0.9182116506941949,,4560,77,45,100,5.0,0.75,10,tt
concrete,5,12,,0.30633856103042895,0.9122994304240583,,4560,85,46,100,5.0,0.75,10,tt
gesture,3,4,,,,0.5010128291694801,1320,51,42,100,5.0,0.75,10,tt
gesture,3,4,,,,0.4402430790006752,1320,12,43,100,5.0,0.75,10,tt
gesture,3,4,,,,0.44294395678595544,1320,11,44,100,5.0,0.75,10,tt
gesture,3,4,,,,0.5165428764348413,1320,67,45,100,5.0,0.75,10,tt
gesture,3,4,,,,0.4449696151249156,1320,11,46,100,5.0,0.75,10,tt
gesture,3,8,,,,0.5273463875759622,3696,67,42,100,5.0,0.75,10,tt
gesture,3,8,,,,0.5408507765023632,3696,80,43,100,5.0,0.75,10,tt
gesture,3,8,,,,0.5199189736664416,3696,65,44,100,5.0,0.75,10,tt
gesture,3,8,,,,0.5070898041863605,3696,48,45,100,5.0,0.75,10,tt
gesture,3,8,,,,0.5449020931802836,3696,79,46,100,5.0,0.75,10,tt
gesture,3,12,,,,0.49966239027683995,7128,36,42,100,5.0,0.75,10,tt
gesture,3,12,,,,0.5232950708980418,7128,54,43,100,5.0,0.75,10,tt
gesture,3,12,,,,0.5415259959486833,7128,79,44,100,5.0,0.75,10,tt
gesture,3,12,,,,0.5354490209318028,7128,70,45,100,5.0,0.75,10,tt
gesture,3,12,,,,0.5320729237002025,7128,66,46,100,5.0,0.75,10,tt
gesture,4,4,,,,0.5165428764348413,1848,91,42,100,5.0,0.75,10,tt
gesture,4,4,,,,0.450371370695476,1848,11,43,100,5.0,0.75,10,tt
gesture,4,4,,,,0.43686698176907496,1848,18,44,100,5.0,0.75,10,tt
gesture,4,4,,,,0.44091829844699526,1848,11,45,100,5.0,0.75,10,tt
gesture,4,4,,,,0.4523970290344362,1848,11,46,100,5.0,0.75,10,tt
gesture,4,8,,,,0.4773801485482782,5808,34,42,100,5.0,0.75,10,tt
gesture,4,8,,,,0.4814314652261985,5808,34,43,100,5.0,0.75,10,tt
gesture,4,8,,,,0.47602970965563807,5808,36,44,100,5.0,0.75,10,tt
gesture,4,8,,,,0.47940580688723833,5808,34,45,100,5.0,0.75,10,tt
gesture,4,8,,,,0.437542201215395,5808,11,46,100,5.0,0.75,10,tt
gesture,4,12,,,,0.47670492910195816,11880,28,42,100,5.0,0.75,10,tt
gesture,4,12,,,,0.5050641458474004,11880,55,43,100,5.0,0.75,10,tt
gesture,4,12,,,,0.4787305874409183,11880,32,44,100,5.0,0.75,10,tt
gesture,4,12,,,,0.49831195138419987,11880,40,45,100,5.0,0.75,10,tt
gesture,4,12,,,,0.4962862930452397,11880,36,46,100,5.0,0.75,10,tt
gesture,5,4,,,,0.4442943956785955,2376,18,42,100,5.0,0.75,10,tt
gesture,5,4,,,,0.43686698176907496,2376,20,43,100,5.0,0.75,10,tt
gesture,5,4,,,,0.4483457123565159,2376,11,44,100,5.0,0.75,10,tt
gesture,5,4,,,,0.450371370695476,2376,11,45,100,5.0,0.75,10,tt
