dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.3960444297909064,0.853415889194234,,240,64,42,100,5.0,0.75,10,tt_cumsum
concrete,3,4,,0.3888939326898877,0.8586611956618135,,240,61,43,100,5.0,0.75,10,tt_cumsum
concrete,3,4,,0.3709823577628141,0.8713808627878946,,240,68,44,100,5.0,0.75,10,tt_cumsum
concrete,3,4,,0.38346078492664776,0.8625828327216248,,240,54,45,100,5.0,0.75,10,tt_cumsum
concrete,3,4,,0.3886733485610474,0.8588214874660393,,240,68,46,100,5.0,0.75,10,tt_cumsum
concrete,3,8,,0.40813101410230085,0.844332383950571,,800,38,42,100,5.0,0.75,10,tt_cumsum
concrete,3,8,,0.3898009014435602,0.8580011732286947,,800,61,43,100,5.0,0.75,10,tt_cumsum
concrete,3,8,,0.3725075783789242,0.8703211044574211,,800,86,44,100,5.0,0.75,10,tt_cumsum
concrete,3,8,,0.40778151920694616,0.8445988755474614,,800,38,45,100,5.0,0.75,10,tt_cumsum
concrete,3,8,,0.36942556136701205,0.8724580766923086,,800,87,46,100,5.0,0.75,10,tt_cumsum
concrete,3,12,,0.37456201585225707,0.8688867612966668,,1680,79,42,100,5.0,0.75,10,tt_cumsum
concrete,3,12,,0.37409690801120005,0.8692121756798961,,1680,83,43,100,5.0,0.75,10,tt_cumsum
concrete,3,12,,0.3980980485388209,0.8518917756405091,,1680,50,44,100,5.0,0.75,10,tt_cumsum
concrete,3,12,,0.4070207993445251,0.8451781389485956,,1680,34,45,100,5.0,0.75,10,tt_cumsum
concrete,3,12,,0.37177988204916435,0.8708272669551906,,1680,84,46,100,5.0,0.75,10,tt_cumsum
concrete,4,4,,0.32215079732406376,0.9030121127230123,,400,97,42,100,5.0,0.75,10,tt_cumsum
concrete,4,4,,0.3138478409100617,0.9079471225498004,,400,113,43,100,5.0,0.75,10,tt_cumsum
concrete,4,4,,0.34032824260332456,0.8917581864389741,,400,72,44,100,5.0,0.75,10,tt_cumsum
concrete,4,4,,0.30212309782452346,0.9146964832110398,,400,122,45,100,5.0,0.75,10,tt_cumsum
concrete,4,4,,0.33040699474123186,0.897977128352494,,400,91,46,100,5.0,0.75,10,tt_cumsum
concrete,4,8,,0.32878687777304283,0.8989751928565183,,1440,84,42,100,5.0,0.75,10,tt_cumsum
concrete,4,8,,0.33050811764511917,0.8979146694580229,,1440,72,43,100,5.0,0.75,10,tt_cumsum
concrete,4,8,,0.32551189408836956,0.9009777472617275,,1440,84,44,100,5.0,0.75,10,tt_cumsum
concrete,4,8,,0.33025053023676865,0.8980737315036033,,1440,76,45,100,5.0,0.75,10,tt_cumsum
concrete,4,8,,0.32082141891793614,0.9038109161230568,,1440,90,46,100,5.0,0.75,10,tt_cumsum
concrete,4,12,,0.3335333480195735,0.8960372871122289,,3120,78,42,100,5.0,0.75,10,tt_cumsum
concrete,4,12,,0.3327617996092618,0.8965177157742277,,3120,69,43,100,5.0,0.75,10,tt_cumsum
concrete,4,12,,0.31143435628908056,0.9093574490858957,,3120,78,44,100,5.0,0.75,10,tt_cumsum
concrete,4,12,,0.33210010458054046,0.89692885451257,,3120,72,45,100,5.0,0.75,10,tt_cumsum
concrete,4,12,,0.3257067933040577,0.9008591332420243,,3120,72,46,100,5.0,0.75,10,tt_cumsum
concrete,5,4,,0.2997365659485481,0.9160388201935528,,560,129,42,100,5.0,0.75,10,tt_cumsum
concrete,5,4,,0.28976483386117124,0.9215323883918848,,560,137,43,100,5.0,0.75,10,tt_cumsum
concrete,5,4,,0.31004134833268526,0.9101665018207943,,560,131,44,100,5.0,0.75,10,tt_cumsum
concrete,5,4,,0.3161793062808245,0.9065743856422915,,560,102,45,100,5.0,0.75,10,tt_cumsum
concrete,5,4,,0.28485581437681995,0.9241685683959857,,560,132,46,100,5.0,0.75,10,tt_cumsum
concrete,5,8,,0.2978968967544198,0.9170663010059553,,2080,100,42,100,5.0,0.75,10,tt_cumsum
concrete,5,8,,0.30293317081497645,0.9142384267696069,,2080,104,43,100,5.0,0.75,10,tt_cumsum
concrete,5,8,,0.2828684743926949,0.9252229764709031,,2080,102,44,100,5.0,0.75,10,tt_cumsum
concrete,5,8,,0.2875920461291885,0.922704747667227,,2080,100,45,100,5.0,0.75,10,tt_cumsum
concrete,5,8,,0.3111354593168965,0.9095313527186597,,2080,121,46,100,5.0,0.75,10,tt_cumsum
concrete,5,12,,0.29566347205550647,0.9183051982547282,,4560,84,42,100,5.0,0.75,10,tt_cumsum
concrete,5,12,,0.28719703046695005,0.9229169361950404,,4560,86,43,100,5.0,0.75,10,tt_cumsum
concrete,5,12,,0.3067563832965166,0.912060033595375,,4560,92,44,100,5.0,0.75,10,tt_cumsum
