dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.41450858571612004,0.83942935978857,,298,115,42,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,4,,0.417344073756514,0.8372250465589353,,298,117,43,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,4,,0.4240290655140771,0.8319686442530694,,298,115,44,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,4,,0.40710158860266255,0.8451166718949995,,298,125,45,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,4,,0.4069815373324395,0.845208006339215,,298,135,46,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,8,,0.40804340230831815,0.8443992098216524,,874,125,42,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,8,,0.4228962272788543,0.8328652718044096,,874,95,43,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,8,,0.4196178026377339,0.8354465892994307,,874,105,44,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,8,,0.3664049447631051,0.8745352487515672,,874,183,45,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,8,,0.37060389405164856,0.8716431547557743,,874,170,46,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,12,,0.40919237450845525,0.8435216919509927,,1738,77,42,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,12,,0.41911192980095424,0.8358431069067987,,1738,97,43,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,12,,0.4102926365221388,0.8426790633199182,,1738,105,44,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,12,,0.4177046917956649,0.836943624352416,,1738,87,45,100,5.0,0.75,10,tt_type1_cumsum
concrete,3,12,,0.43881942988927136,0.8200421583977027,,1738,75,46,100,5.0,0.75,10,tt_type1_cumsum
concrete,4,4,,0.4419456603716035,0.8174689191662233,,658,213,42,100,5.0,0.75,10,tt_type1_cumsum
concrete,4,4,,0.37246159511130683,0.8703531182561015,,658,258,43,100,5.0,0.75,10,tt_type1_cumsum
concrete,4,4,,0.3399634644006398,0.8919900983923139,,658,325,44,100,5.0,0.75,10,tt_type1_cumsum
concrete,4,4,,0.4713817573174319,0.7923439349465634,,658,129,45,100,5.0,0.75,10,tt_type1_cumsum
concrete,4,4,,0.3625941124332617,0.8771314950211865,,658,294,46,100,5.0,0.75,10,tt_type1_cumsum
