dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,0.25,0.3808849579780947,0.8644227809851752,,240,76,42,100,5.0,0.75,10,tt
concrete,3,4,0.25,0.3907364811721964,0.8573187189059727,,240,69,43,100,5.0,0.75,10,tt
concrete,3,4,0.25,0.38725765938315254,0.8598480610806338,,240,56,44,100,5.0,0.75,10,tt
concrete,3,4,0.25,0.3815513195020171,0.8639479789816086,,240,87,45,100,5.0,0.75,10,tt
concrete,3,4,0.25,0.3726890747708495,0.8701947071072184,,240,95,46,100,5.0,0.75,10,tt
concrete,3,4,0.5,0.37777742408095843,0.8666260295852742,,240,89,42,100,5.0,0.75,10,tt
concrete,3,4,0.5,0.3770421872869338,0.8671446737378627,,240,64,43,100,5.0,0.75,10,tt
concrete,3,4,0.5,0.37927209250614463,0.8655685591735721,,240,76,44,100,5.0,0.75,10,tt
concrete,3,4,0.5,0.4159700062575297,0.8382951256177875,,240,64,45,100,5.0,0.75,10,tt
concrete,3,4,0.5,0.3888001313025796,0.8587293694023757,,240,56,46,100,5.0,0.75,10,tt
concrete,3,4,0.75,0.39749008797683044,0.8523438009832667,,240,61,42,100,5.0,0.75,10,tt
concrete,3,4,0.75,0.38287572027722633,0.8630018408520785,,240,75,43,100,5.0,0.75,10,tt
concrete,3,4,0.75,0.37102733459193865,0.8713496740722773,,240,66,44,100,5.0,0.75,10,tt
concrete,3,4,0.75,0.40105158009106967,0.8496859621188664,,240,64,45,100,5.0,0.75,10,tt
concrete,3,4,0.75,0.3917295295996765,0.8565925544499873,,240,72,46,100,5.0,0.75,10,tt
concrete,3,8,0.25,0.40563998289170305,0.8462268222024519,,800,38,42,100,5.0,0.75,10,tt
concrete,3,8,0.25,0.36952080823852823,0.8723923014105017,,800,88,43,100,5.0,0.75,10,tt
concrete,3,8,0.25,0.3878785079654408,0.8593983197785594,,800,60,44,100,5.0,0.75,10,tt
concrete,3,8,0.25,0.3744618168685827,0.8689569000481443,,800,58,45,100,5.0,0.75,10,tt
concrete,3,8,0.25,0.38022428220881327,0.8648927123707514,,800,84,46,100,5.0,0.75,10,tt
concrete,3,8,0.5,0.38652962129931673,0.860374532455062,,800,58,42,100,5.0,0.75,10,tt
concrete,3,8,0.5,0.3755438428879264,0.868198494811704,,800,83,43,100,5.0,0.75,10,tt
concrete,3,8,0.5,0.3941712313975861,0.8547992277678902,,800,52,44,100,5.0,0.75,10,tt
concrete,3,8,0.5,0.38909998999332496,0.8585113779034947,,800,60,45,100,5.0,0.75,10,tt
concrete,3,8,0.5,0.40720493656169854,0.8450380236751355,,800,38,46,100,5.0,0.75,10,tt
concrete,3,8,0.75,0.37400531211489707,0.8692762134260488,,800,62,42,100,5.0,0.75,10,tt
concrete,3,8,0.75,0.3787201884844799,0.8659595147568027,,800,57,43,100,5.0,0.75,10,tt
concrete,3,8,0.75,0.3708054269223819,0.8715035169516111,,800,88,44,100,5.0,0.75,10,tt
concrete,3,8,0.75,0.3793393234385043,0.8655208954918447,,800,66,45,100,5.0,0.75,10,tt
concrete,3,8,0.75,0.37463943086520457,0.8688325583526191,,800,64,46,100,5.0,0.75,10,tt
concrete,3,12,0.25,0.37647775890760726,0.8675421421983298,,1680,79,42,100,5.0,0.75,10,tt
concrete,3,12,0.25,0.36800965833263105,0.8734338669233657,,1680,83,43,100,5.0,0.75,10,tt
concrete,3,12,0.25,0.3699232540547767,0.8721141944742348,,1680,79,44,100,5.0,0.75,10,tt
concrete,3,12,0.25,0.3711093461907531,0.8712927942469597,,1680,80,45,100,5.0,0.75,10,tt
concrete,3,12,0.25,0.40044614293811975,0.8501394549634458,,1680,49,46,100,5.0,0.75,10,tt
concrete,3,12,0.5,0.3919500378312125,0.85643105821279,,1680,58,42,100,5.0,0.75,10,tt
concrete,3,12,0.5,0.4063416098239952,0.8456944056937021,,1680,49,43,100,5.0,0.75,10,tt
concrete,3,12,0.5,0.39184156626095235,0.8565105121846275,,1680,42,44,100,5.0,0.75,10,tt
concrete,3,12,0.5,0.3999934667797889,0.8504780770418482,,1680,53,45,100,5.0,0.75,10,tt
concrete,3,12,0.5,0.40249103733424635,0.8486050092396928,,1680,49,46,100,5.0,0.75,10,tt
concrete,3,12,0.75,0.3683041746297735,0.8732312053690987,,1680,82,42,100,5.0,0.75,10,tt
concrete,3,12,0.75,0.38535898613314756,0.8612189850513332,,1680,56,43,100,5.0,0.75,10,tt
concrete,3,12,0.75,0.37627488503594675,0.867684859782253,,1680,83,44,100,5.0,0.75,10,tt
concrete,3,12,0.75,0.372544612611408,0.8702953181519784,,1680,83,45,100,5.0,0.75,10,tt
concrete,3,12,0.75,0.39892969060477074,0.8512723217811867,,1680,52,46,100,5.0,0.75,10,tt
gesture,3,4,0.25,,,0.5340985820391627,1320,102,42,100,5.0,0.75,10,tt
gesture,3,4,0.25,,,0.4442943956785955,1320,11,43,100,5.0,0.75,10,tt
gesture,3,4,0.25,,,0.511816340310601,1320,63,44,100,5.0,0.75,10,tt
gesture,3,4,0.25,,,0.5091154625253207,1320,59,45,100,5.0,0.75,10,tt
gesture,3,4,0.25,,,0.512491559756921,1320,67,46,100,5.0,0.75,10,tt
gesture,3,4,0.5,,,0.4530722484807562,1320,11,42,100,5.0,0.75,10,tt
gesture,3,4,0.5,,,0.5388251181634031,1320,113,43,100,5.0,0.75,10,tt
gesture,3,4,0.5,,,0.5347738014854828,1320,96,44,100,5.0,0.75,10,tt
gesture,3,4,0.5,,,0.44091829844699526,1320,11,45,100,5.0,0.75,10,tt
gesture,3,4,0.5,,,0.43821742066171504,1320,11,46,100,5.0,0.75,10,tt
gesture,3,4,0.75,,,0.5151924375422012,1320,66,42,100,5.0,0.75,10,tt
gesture,3,4,0.75,,,0.44091829844699526,1320,11,43,100,5.0,0.75,10,tt
gesture,3,4,0.75,,,0.4422687373396354,1320,14,44,100,5.0,0.75,10,tt
gesture,3,4,0.75,,,0.5239702903443619,1320,90,45,100,5.0,0.75,10,tt
gesture,3,4,0.75,,,0.437542201215395,1320,12,46,100,5.0,0.75,10,tt
gesture,3,8,0.25,,,0.5151924375422012,3696,53,42,100,5.0,0.75,10,tt
gesture,3,8,0.25,,,0.5327481431465226,3696,67,43,100,5.0,0.75,10,tt
gesture,3,8,0.25,,,0.5280216070222823,3696,62,44,100,5.0,0.75,10,tt
gesture,3,8,0.25,,,0.5138419986495611,3696,48,45,100,5.0,0.75,10,tt
gesture,3,8,0.25,,,0.5178933153274814,3696,59,46,100,5.0,0.75,10,tt
gesture,3,8,0.5,,,0.5300472653612424,3696,64,42,100,5.0,0.75,10,tt
gesture,3,8,0.5,,,0.5476029709655638,3696,86,43,100,5.0,0.75,10,tt
gesture,3,8,0.5,,,0.5091154625253207,3696,46,44,100,5.0,0.75,10,tt
gesture,3,8,0.5,,,0.5388251181634031,3696,72,45,100,5.0,0.75,10,tt
gesture,3,8,0.5,,,0.513166779203241,3696,48,46,100,5.0,0.75,10,tt
gesture,3,8,0.75,,,0.5246455097906819,3696,59,42,100,5.0,0.75,10,tt
gesture,3,8,0.75,,,0.5320729237002025,3696,69,43,100,5.0,0.75,10,tt
gesture,3,8,0.75,,,0.5226198514517219,3696,61,44,100,5.0,0.75,10,tt
gesture,3,8,0.75,,,0.5205941931127617,3696,66,45,100,5.0,0.75,10,tt
gesture,3,8,0.75,,,0.5091154625253207,3696,44,46,100,5.0,0.75,10,tt
gesture,3,12,0.25,,,0.5286968264686023,7128,61,42,100,5.0,0.75,10,tt
gesture,3,12,0.25,,,0.5111411208642809,7128,47,43,100,5.0,0.75,10,tt
gesture,3,12,0.25,,,0.5070898041863605,7128,43,44,100,5.0,0.75,10,tt
gesture,3,12,0.25,,,0.5408507765023632,7128,70,45,100,5.0,0.75,10,tt
gesture,3,12,0.25,,,0.5313977042538826,7128,59,46,100,5.0,0.75,10,tt
gesture,3,12,0.5,,,0.5084402430790007,7128,47,42,100,5.0,0.75,10,tt
gesture,3,12,0.5,,,0.5313977042538826,7128,58,43,100,5.0,0.75,10,tt
gesture,3,12,0.5,,,0.5496286293045239,7128,85,44,100,5.0,0.75,10,tt
gesture,3,12,0.5,,,0.5280216070222823,7128,55,45,100,5.0,0.75,10,tt
gesture,3,12,0.5,,,0.5064145847400405,7128,40,46,100,5.0,0.75,10,tt
gesture,3,12,0.75,,,0.5415259959486833,7128,72,42,100,5.0,0.75,10,tt
gesture,3,12,0.75,,,0.5435516542876435,7128,78,43,100,5.0,0.75,10,tt
gesture,3,12,0.75,,,0.5091154625253207,7128,42,44,100,5.0,0.75,10,tt
gesture,3,12,0.75,,,0.5307224848075625,7128,64,45,100,5.0,0.75,10,tt
gesture,3,12,0.75,,,0.513166779203241,7128,47,46,100,5.0,0.75,10,tt
energyprediction,3,4,0.25,0.8238832069651341,0.2898834701312133,,720,112,42,100,5.0,0.75,10,tt
energyprediction,3,4,0.25,0.8289109460950953,0.2811900669036297,,720,96,43,100,5.0,0.75,10,tt
energyprediction,3,4,0.25,0.8129408953658267,0.30862087365566726,,720,231,44,100,5.0,0.75,10,tt
energyprediction,3,4,0.25,0.8145819782716314,0.3058266835968134,,720,199,45,100,5.0,0.75,10,tt
energyprediction,3,4,0.25,0.8222024922103262,0.2927777783316209,,720,140,46,100,5.0,0.75,10,tt
energyprediction,3,4,0.5,0.8302002196652103,0.27895227918303067,,720,84,42,100,5.0,0.75,10,tt
energyprediction,3,4,0.5,0.8195905709507532,0.2972639595949632,,720,187,43,100,5.0,0.75,10,tt
energyprediction,3,4,0.5,0.8168660166746569,0.3019283863003137,,720,229,44,100,5.0,0.75,10,tt
energyprediction,3,4,0.5,0.8276184080460666,0.2834300296375978,,720,88,45,100,5.0,0.75,10,tt
energyprediction,3,4,0.5,0.8241114822154184,0.28948990831514376,,720,92,46,100,5.0,0.75,10,tt
energyprediction,3,4,0.75,0.8183986926929369,0.2993063617911036,,720,152,42,100,5.0,0.75,10,tt
energyprediction,3,4,0.75,0.8122376552583742,0.3098165208082547,,720,167,43,100,5.0,0.75,10,tt
energyprediction,3,4,0.75,0.8152684240176957,0.30465623516920026,,720,231,44,100,5.0,0.75,10,tt
energyprediction,3,4,0.75,0.8134513019401912,0.3077524335683678,,720,225,45,100,5.0,0.75,10,tt
energyprediction,3,4,0.75,0.8146034064691701,0.30579016160395256,,720,231,46,100,5.0,0.75,10,tt
energyprediction,3,8,0.25,0.7956810853432853,0.33766700724241216,,2400,94,42,100,5.0,0.75,10,tt
energyprediction,3,8,0.25,0.7938723730780862,0.3406747656013136,,2400,90,43,100,5.0,0.75,10,tt
energyprediction,3,8,0.25,0.7962579453596456,0.33670629087604886,,2400,90,44,100,5.0,0.75,10,tt
energyprediction,3,8,0.25,0.7898648323992494,0.34731463258533624,,2400,94,45,100,5.0,0.75,10,tt
energyprediction,3,8,0.25,0.7926398309610629,0.3427204729540738,,2400,102,46,100,5.0,0.75,10,tt
energyprediction,3,8,0.5,0.7951362922431525,0.3385736793290691,,2400,90,42,100,5.0,0.75,10,tt
energyprediction,3,8,0.5,0.7924177909679795,0.34308866515115544,,2400,94,43,100,5.0,0.75,10,tt
energyprediction,3,8,0.5,0.794065591202831,0.340353784313459,,2400,90,44,100,5.0,0.75,10,tt
energyprediction,3,8,0.5,0.79684005536097,0.33573612526995456,,2400,86,45,100,5.0,0.75,10,tt
energyprediction,3,8,0.5,0.7923266198367329,0.3432398174973764,,2400,94,46,100,5.0,0.75,10,tt
energyprediction,3,8,0.75,0.7954949223249683,0.3379768989491584,,2400,90,42,100,5.0,0.75,10,tt
energyprediction,3,8,0.75,0.7962119445117493,0.3367829273274423,,2400,86,43,100,5.0,0.75,10,tt
energyprediction,3,8,0.75,0.7932939859500591,0.34163513737998596,,2400,90,44,100,5.0,0.75,10,tt
energyprediction,3,8,0.75,0.796253457240057,0.3367137681844171,,2400,90,45,100,5.0,0.75,10,tt
energyprediction,3,8,0.75,0.7944940229813916,0.33964177854102295,,2400,90,46,100,5.0,0.75,10,tt
energyprediction,3,12,0.25,0.7881928527711778,0.3500749064708565,,5040,80,42,100,5.0,0.75,10,tt
energyprediction,3,12,0.25,0.7879608647518113,0.35045743378241645,,5040,80,43,100,5.0,0.75,10,tt
energyprediction,3,12,0.25,0.788370222403126,0.34978236399268914,,5040,80,44,100,5.0,0.75,10,tt
energyprediction,3,12,0.25,0.7885619567688245,0.3494660551762556,,5040,78,45,100,5.0,0.75,10,tt
energyprediction,3,12,0.25,0.7875485294917077,0.35113705948014406,,5040,80,46,100,5.0,0.75,10,tt
energyprediction,3,12,0.5,0.7886295914221787,0.3493544583021009,,5040,80,42,100,5.0,0.75,10,tt
energyprediction,3,12,0.5,0.7918786020074794,0.3439823322014508,,5040,80,43,100,5.0,0.75,10,tt
energyprediction,3,12,0.5,0.7883597416095222,0.34979965219396336,,5040,80,44,100,5.0,0.75,10,tt
energyprediction,3,12,0.5,0.7884919257793149,0.34958159590841165,,5040,80,45,100,5.0,0.75,10,tt
energyprediction,3,12,0.5,0.7886138536399544,0.3493804264265047,,5040,80,46,100,5.0,0.75,10,tt
energyprediction,3,12,0.75,0.7893605934550304,0.3481476974784812,,5040,80,42,100,5.0,0.75,10,tt
energyprediction,3,12,0.75,0.7892738591929791,0.34829093954737844,,5040,76,43,100,5.0,0.75,10,tt
energyprediction,3,12,0.75,0.7874267297753293,0.351337746060843,,5040,80,44,100,5.0,0.75,10,tt
energyprediction,3,12,0.75,0.7890694418097526,0.3486284736175097,,5040,78,45,100,5.0,0.75,10,tt
energyprediction,3,12,0.75,0.7904185249916214,0.34639925136107386,,5040,80,46,100,5.0,0.75,10,tt
higgs_small,3,4,0.25,,,0.7050584715800925,812,79,42,100,5.0,0.75,10,tt
higgs_small,3,4,0.25,,,0.7033587163448464,812,71,43,100,5.0,0.75,10,tt
higgs_small,3,4,0.25,,,0.7055344030459614,812,91,44,100,5.0,0.75,10,tt
higgs_small,3,4,0.25,,,0.7067582268153386,812,88,45,100,5.0,0.75,10,tt
higgs_small,3,4,0.25,,,0.7036306771824857,812,62,46,100,5.0,0.75,10,tt
higgs_small,3,4,0.5,,,0.707438128909437,812,70,42,100,5.0,0.75,10,tt
higgs_small,3,4,0.5,,,0.704854500951863,812,85,43,100,5.0,0.75,10,tt
