dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,0.25,0.41482819807440513,0.8391816440674392,,298,115,42,100,5.0,0.75,10,tt_type1
concrete,3,4,0.25,0.4144928778491226,0.8394415292564993,,298,135,43,100,5.0,0.75,10,tt_type1
concrete,3,4,0.25,0.4155974552683949,0.8385846480950865,,298,125,44,100,5.0,0.75,10,tt_type1
concrete,3,4,0.25,0.4131526323479996,0.8404781688670121,,298,125,45,100,5.0,0.75,10,tt_type1
concrete,3,4,0.25,0.41612122064890494,0.8381775375790477,,298,105,46,100,5.0,0.75,10,tt_type1
concrete,3,4,0.5,0.4149741707471446,0.839068444359033,,298,107,42,100,5.0,0.75,10,tt_type1
concrete,3,4,0.5,0.4171912296040374,0.8373442510504121,,298,106,43,100,5.0,0.75,10,tt_type1
concrete,3,4,0.5,0.4170751913532028,0.8374347211389203,,298,106,44,100,5.0,0.75,10,tt_type1
concrete,3,4,0.5,0.42190262903954534,0.8336497180854353,,298,106,45,100,5.0,0.75,10,tt_type1
concrete,3,4,0.5,0.419673113531692,0.8354032060299659,,298,106,46,100,5.0,0.75,10,tt_type1
concrete,3,4,0.75,0.4196005279385727,0.8354601375909285,,298,117,42,100,5.0,0.75,10,tt_type1
concrete,3,4,0.75,0.41280276983459113,0.8407482244050055,,298,115,43,100,5.0,0.75,10,tt_type1
concrete,3,4,0.75,0.41826823205872915,0.8365033572456306,,298,106,44,100,5.0,0.75,10,tt_type1
concrete,3,4,0.75,0.41329545799689343,0.8403678573481786,,298,125,45,100,5.0,0.75,10,tt_type1
concrete,3,4,0.75,0.41731227935354465,0.8372498468887015,,298,106,46,100,5.0,0.75,10,tt_type1
concrete,3,8,0.25,0.3662965516192563,0.8746094699511417,,874,203,42,100,5.0,0.75,10,tt_type1
concrete,3,8,0.25,0.40986470551583554,0.8430070604244964,,874,105,43,100,5.0,0.75,10,tt_type1
concrete,3,8,0.25,0.42085704384216055,0.8344732155189509,,874,87,44,100,5.0,0.75,10,tt_type1
concrete,3,8,0.25,0.4319527390090886,0.8256300904286206,,874,85,45,100,5.0,0.75,10,tt_type1
