dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.37564229791312825,0.8681293778669562,,298,158,42,100,5.0,0.75,10,tt_type1
concrete,3,4,,0.36285988723703794,0.8769513083079066,,298,196,43,100,5.0,0.75,10,tt_type1
concrete,3,4,,0.38169853357651845,0.8638429727337549,,298,176,44,100,5.0,0.75,10,tt_type1
concrete,3,4,,0.377979883973621,0.8664830347224017,,298,175,45,100,5.0,0.75,10,tt_type1
concrete,3,4,,0.3939625122583804,0.8549529587051444,,298,145,46,100,5.0,0.75,10,tt_type1
concrete,3,8,,0.3729882930613457,0.8699861916871807,,874,176,42,100,5.0,0.75,10,tt_type1
concrete,3,8,,0.375392070945063,0.8683050055626631,,874,149,43,100,5.0,0.75,10,tt_type1
concrete,3,8,,0.37524872658519065,0.8684055624570826,,874,185,44,100,5.0,0.75,10,tt_type1
concrete,3,8,,0.3690959740477604,0.8726855512010925,,874,165,45,100,5.0,0.75,10,tt_type1
concrete,3,8,,0.3833041806328152,0.8626950513625409,,874,145,46,100,5.0,0.75,10,tt_type1
concrete,3,12,,0.3737969902455245,0.8694217998035138,,1738,156,42,100,5.0,0.75,10,tt_type1
concrete,3,12,,0.3771156122492083,0.8670929243714574,,1738,137,43,100,5.0,0.75,10,tt_type1
concrete,3,12,,0.3780555697204678,0.8664295591624824,,1738,153,44,100,5.0,0.75,10,tt_type1
concrete,3,12,,0.37996270712152636,0.865078542397396,,1738,146,45,100,5.0,0.75,10,tt_type1
concrete,3,12,,0.41514790166310106,0.8389336666254834,,1738,87,46,100,5.0,0.75,10,tt_type1
concrete,4,4,,0.5402396716486724,0.727245437853665,,658,120,42,100,5.0,0.75,10,tt_type1
concrete,4,4,,0.3189181908505056,0.9049487874471209,,658,277,43,100,5.0,0.75,10,tt_type1
concrete,4,4,,0.35047026894602384,0.8852106909892064,,658,234,44,100,5.0,0.75,10,tt_type1
concrete,4,4,,0.6426974130700831,0.6139778888345304,,658,68,45,100,5.0,0.75,10,tt_type1
concrete,4,4,,0.3245823000106534,0.9015425134829491,,658,289,46,100,5.0,0.75,10,tt_type1
concrete,4,8,,0.3325938201968311,0.8966221658994917,,2170,222,42,100,5.0,0.75,10,tt_type1
concrete,4,8,,0.3144820414478819,0.9075747193546866,,2170,213,43,100,5.0,0.75,10,tt_type1
concrete,4,8,,0.34174172699316135,0.890857198404869,,2170,219,44,100,5.0,0.75,10,tt_type1
concrete,4,8,,0.3478244972570587,0.8869372849990583,,2170,183,45,100,5.0,0.75,10,tt_type1
concrete,4,8,,0.3331588000505906,0.8962706500398904,,2170,231,46,100,5.0,0.75,10,tt_type1
concrete,4,12,,0.3032342465050496,0.9140678706302896,,4546,187,42,100,5.0,0.75,10,tt_type1
concrete,4,12,,0.3468629257888684,0.88756155157466,,4546,177,43,100,5.0,0.75,10,tt_type1
concrete,4,12,,0.3198283713336382,0.9044054680972027,,4546,203,44,100,5.0,0.75,10,tt_type1
concrete,4,12,,0.4557546071495058,0.8058840538721892,,4546,93,45,100,5.0,0.75,10,tt_type1
concrete,4,12,,0.3152285759920084,0.907135390222743,,4546,213,46,100,5.0,0.75,10,tt_type1
concrete,5,4,,0.6949312850909697,0.5486818438955875,,1162,71,42,100,5.0,0.75,10,tt_type1
concrete,5,4,,0.9653900547719906,0.1290269463589232,,1162,18,43,100,5.0,0.75,10,tt_type1
concrete,5,4,,0.9293704389152019,0.19280811548603605,,1162,18,44,100,5.0,0.75,10,tt_type1
concrete,5,4,,0.789413129488065,0.41761823473708526,,1162,43,45,100,5.0,0.75,10,tt_type1
concrete,5,4,,0.9044295454619989,0.23555092346864803,,1162,14,46,100,5.0,0.75,10,tt_type1
concrete,5,8,,0.7667683076188241,0.4505510014085411,,4042,19,42,100,5.0,0.75,10,tt_type1
concrete,5,8,,0.7338527823887637,0.4967115448647461,,4042,15,43,100,5.0,0.75,10,tt_type1
concrete,5,8,,0.70554581800723,0.5347894854963027,,4042,18,44,100,5.0,0.75,10,tt_type1
concrete,5,8,,0.6210665564381069,0.6395248216591746,,4042,43,45,100,5.0,0.75,10,tt_type1
concrete,5,8,,0.7078781613198954,0.531708681915893,,4042,19,46,100,5.0,0.75,10,tt_type1
concrete,5,12,,0.3112722079214089,0.9094518106438703,,8650,200,42,100,5.0,0.75,10,tt_type1
