Epoch,Val Accuracy
1,0.8332
2,0.8919
3,0.9090
4,0.9249
5,0.9324
6,0.9341
7,0.9384
8,0.9395
9,0.9439
10,0.9429
11,0.9455
12,0.9469
13,0.9447
14,0.9447
15,0.9447
16,0.9485
17,0.9490
18,0.9466
19,0.9464
20,0.9496
21,0.9540
22,0.9529
23,0.9511
24,0.9495
25,0.9519
26,0.9508
27,0.9538
28,0.9511
29,0.9532
30,0.9499
31,0.9498
32,0.9552
33,0.9558
34,0.9556
35,0.9551
36,0.9557
37,0.9528
38,0.9573
39,0.9571
40,0.9579
41,0.9557
42,0.9598
43,0.9583
44,0.9579
45,0.9613
46,0.9577
47,0.9595
48,0.9595
49,0.9565
50,0.9576
51,0.9556
52,0.9595
53,0.9597
54,0.9601
55,0.9581
56,0.9589
57,0.9595
58,0.9606
59,0.9596
60,0.9602
61,0.9598
62,0.9597
63,0.9586
64,0.9620
65,0.9578
66,0.9606
67,0.9589
68,0.9615
69,0.9624
70,0.9609
71,0.9620
72,0.9582
73,0.9608
74,0.9599
75,0.9594
76,0.9609
77,0.9627
78,0.9639
79,0.9637
80,0.9616
81,0.9595
82,0.9610
83,0.9631
84,0.9610
85,0.9664
86,0.9627
87,0.9652
88,0.9618
89,0.9619
90,0.9598
91,0.9621
92,0.9625
93,0.9617
94,0.9621
95,0.9624
96,0.9604
97,0.9605
98,0.9634
99,0.9634
100,0.9626
